GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stars,edu.brown.cs.abeckrui.stars,Main.FrontHandler,12,0,0,0,2,0,1,0,1,0
stars,edu.brown.cs.abeckrui.stars,Main.RadiusSubmitHandler,73,0,6,0,16,0,4,0,1,0
stars,edu.brown.cs.abeckrui.stars,StarsLogic,73,1919,21,189,29,377,21,101,0,15
stars,edu.brown.cs.abeckrui.stars,Main.NeighborsSubmitHandler,73,0,6,0,16,0,4,0,1,0
stars,edu.brown.cs.abeckrui.stars,Star,0,68,0,4,0,21,0,10,0,8
stars,edu.brown.cs.abeckrui.stars,Main,159,0,2,0,40,0,6,0,5,0
stars,edu.brown.cs.abeckrui.stars,Main.ExceptionPrinter,26,0,0,0,8,0,1,0,1,0
stars,edu.brown.cs.abeckrui.stars,PriorityComparator,0,76,0,4,0,18,0,4,0,2
stars,edu.brown.cs.abeckrui.mockaroo,MockPersonLogic,148,101,15,15,29,23,14,5,2,2
stars,edu.brown.cs.abeckrui.mockaroo,MockPerson,37,0,0,0,10,0,2,0,2,0
stars,edu.brown.cs.abeckrui,Kdtree,3,104,0,8,1,22,1,7,1,3
stars,edu.brown.cs.abeckrui,Repl,77,15,8,0,22,4,6,1,2,1
stars,edu.brown.cs.abeckrui,Csv,100,112,28,14,24,28,19,4,0,2
stars,edu.brown.cs.abeckrui,CoordinateComparator,0,38,0,4,0,10,0,4,0,2
stars,edu.brown.cs.abeckrui,Node,3,46,1,5,1,19,1,10,0,8
